country,n_recipes,veggi_n_recipes,vegan_n_recipes,average_calories,percentage_veggi_n_recipes,percentage_vegan_n_recipes,percentage_non_type
american,37533.0,5070.0,1530.0,488.83,13.51,4.08,82.41
mexican,6666.0,844.0,444.0,434.61,12.66,6.66,80.68
italian,6474.0,1165.0,277.0,504.17,18.0,4.28,77.72
canadian,3968.0,513.0,172.0,448.29,12.93,4.33,82.74
australian,2620.0,511.0,103.0,466.83,19.5,3.93,76.57
indian,2528.0,750.0,424.0,380.86,29.67,16.77,53.56
chinese,1731.0,129.0,107.0,434.79,7.45,6.18,86.37
french,1688.0,298.0,64.0,484.31,17.65,3.79,78.55999999999999
caribbean,1285.0,135.0,116.0,487.31,10.51,9.03,80.46
middle-eastern,1172.0,283.0,243.0,370.61,24.15,20.73,55.11999999999999
english,1151.0,286.0,47.0,516.95,24.85,4.08,71.07000000000001
german,1125.0,123.0,28.0,551.39,10.93,2.49,86.58
thai,1103.0,83.0,88.0,455.49,7.52,7.98,84.5
spanish,890.0,122.0,83.0,429.12,13.71,9.33,76.96
moroccan,827.0,134.0,109.0,417.97,16.2,13.18,70.62
japanese,766.0,87.0,108.0,389.29,11.36,14.1,74.54
new-zealand,644.0,153.0,36.0,528.57,23.76,5.59,70.64999999999999
irish,533.0,85.0,9.0,648.26,15.95,1.69,82.36
scottish,470.0,104.0,13.0,542.58,22.13,2.77,75.10000000000001
swiss,334.0,51.0,6.0,466.11,15.27,1.8,82.93
portuguese,329.0,20.0,18.0,537.72,6.08,5.47,88.45
vietnamese,329.0,18.0,28.0,395.31,5.47,8.51,86.02
swedish,328.0,41.0,8.0,446.34,12.5,2.44,85.06
russian,324.0,55.0,11.0,431.77,16.98,3.4,79.61999999999999
south-african,319.0,50.0,22.0,484.68,15.67,6.9,77.42999999999999
polish,294.0,32.0,13.0,498.69,10.88,4.42,84.7
hungarian,272.0,40.0,11.0,524.79,14.71,4.04,81.24999999999999
lebanese,254.0,52.0,55.0,347.96,20.47,21.65,57.88
turkish,251.0,51.0,40.0,374.19,20.32,15.94,63.74000000000001
scandinavian,247.0,38.0,3.0,425.22,15.38,1.21,83.41000000000001
korean,242.0,27.0,23.0,454.17,11.16,9.5,79.34
iranian-persian,240.0,52.0,24.0,444.47,21.67,10.0,68.33
brazilian,239.0,28.0,16.0,428.44,11.72,6.69,81.59
cuban,222.0,28.0,12.0,435.08,12.61,5.41,81.98
danish,210.0,63.0,12.0,640.01,30.0,5.71,64.29
egyptian,195.0,37.0,28.0,412.88,18.97,14.36,66.67
dutch,193.0,25.0,3.0,598.02,12.95,1.55,85.5
filipino,193.0,4.0,11.0,421.77,2.07,5.7,92.23
welsh,193.0,91.0,2.0,556.34,47.15,1.04,51.81
indonesian,193.0,31.0,20.0,440.09,16.06,10.36,73.58
norwegian,175.0,66.0,5.0,488.43,37.71,2.86,59.43
finnish,169.0,83.0,12.0,575.09,49.11,7.1,43.79
austrian,152.0,25.0,6.0,632.48,16.45,3.95,79.6
belgian,147.0,23.0,2.0,524.1,15.65,1.36,82.99
pakistani,136.0,19.0,10.0,430.23,13.97,7.35,78.68
czech,128.0,31.0,1.0,608.17,24.22,0.78,75.0
argentine,119.0,14.0,3.0,530.64,11.76,2.52,85.72
peruvian,116.0,16.0,11.0,460.73,13.79,9.48,76.73
malaysian,107.0,8.0,9.0,412.09,7.48,8.41,84.11
puerto-rican,99.0,3.0,8.0,434.73,3.03,8.08,88.89
iraqi,98.0,16.0,9.0,404.23,16.33,9.18,74.49000000000001
ethiopian,86.0,16.0,20.0,592.66,18.6,23.26,58.14
chilean,75.0,9.0,12.0,376.34,12.0,16.0,72.0
micro-melanesia,49.0,1.0,5.0,496.49,2.04,10.2,87.75999999999999
nepalese,47.0,6.0,10.0,789.74,12.77,21.28,65.95
icelandic,44.0,10.0,2.0,331.74,22.73,4.55,72.72
costa-rican,39.0,6.0,3.0,341.61,15.38,7.69,76.93
ecuadorean,37.0,5.0,2.0,418.74,13.51,5.41,81.08
nigerian,35.0,6.0,3.0,732.24,17.14,8.57,74.28999999999999
guatemalan,32.0,3.0,6.0,404.15,9.38,18.75,71.87
libyan,24.0,6.0,3.0,389.42,25.0,12.5,62.5
laotian,16.0,1.0,4.0,297.04,6.25,25.0,68.75
honduran,14.0,1.0,1.0,575.46,7.14,7.14,85.72
mongolian,12.0,1.0,1.0,476.28,8.33,8.33,83.34
sudanese,12.0,4.0,1.0,287.81,33.33,8.33,58.34
angolan,10.0,3.0,1.0,372.12,30.0,10.0,60.0
congolese,10.0,2.0,2.0,432.26,20.0,20.0,60.0
somalian,9.0,0.0,1.0,187.87,0.0,11.11,88.89
namibian,6.0,0.0,1.0,558.92,0.0,16.67,83.33
world,80578.0,12093.0,4521.0,0.0,15.01,5.61,79.38
