tag,count
north-american,48479
american,31179
european,24912
asian,13485
italian,7410
southern-united-states,7114
mexican,6694
canadian,4572
south-west-pacific,3934
southwestern-united-states,3536
midwestern,2884
african,2851
australian,2845
indian,2708
northeastern-united-states,2566
french,2268
middle-eastern,2067
chinese,2008
central-american,1818
english,1744
caribbean,1709
german,1377
scandinavian,1294
south-american,1255
thai,1208
cajun,1206
spanish,1072
moroccan,897
pacific-northwest,887
creole,855
japanese,851
californian,819
ontario,731
scottish,715
irish,658
new-zealand,645
british-columbian,635
hawaiian,444
polish,407
russian,381
swiss,375
swedish,373
portuguese,358
vietnamese,351
south-african,324
hungarian,317
lebanese,308
turkish,286
cuban,255
korean,253
iranian-persian,252
brazilian,247
danish,230
dutch,224
indonesian,218
filipino,206
polynesian,203
welsh,203
egyptian,200
norwegian,199
quebec,187
finnish,171
austrian,170
belgian,165
native-american,164
pennsylvania-dutch,164
pakistani,141
czech,136
argentine,124
peruvian,121
malaysian,119
szechuan,114
puerto-rican,106
saudi-arabian,102
iraqi,98
palestinian,92
cantonese,90
ethiopian,88
chilean,76
colombian,73
nepalese,53
micro-melanesia,49
costa-rican,48
venezuelan,48
cambodian,46
icelandic,44
libyan,40
nigerian,38
ecuadorean,37
guatemalan,34
hunan,31
honduran,21
beijing,18
georgian,17
laotian,16
sudanese,15
angolan,13
mongolian,13
chinese-new-year,11
congolese,11
somalian,9
namibian,6
middle-eastern-main-dish,1
